,score,training_set_id,number_data,number_layers,number_parameters_ideal,number_parameters_effective,eval_set,duration,number_epoch
80,25.65192984481513,0,4,2,8192,8214,test,416.5955376625061,34
81,11.019058138813874,0,8,2,8192,8214,train,416.5955376625061,22
82,94.8736106537128,0,8,2,8192,8214,val,416.5955376625061,22
83,12.695391783342664,0,8,2,8192,8214,test,416.5955376625061,22
84,3.27111620389589,0,1,2,16384,16719,train,370.7221579551697,33
85,130.0957686235923,0,1,2,16384,16719,val,370.7221579551697,33
86,29.81141107849544,0,1,2,16384,16719,test,370.7221579551697,33
87,25.05281991096407,0,2,2,16384,16719,train,370.7221579551697,4
88,141.10736883433518,0,2,2,16384,16719,val,370.7221579551697,4
89,28.323776975534003,0,2,2,16384,16719,test,370.7221579551697,4
90,1.4052875196984231,0,4,2,16384,16719,train,370.7221579551697,32
91,79.83745693896913,0,4,2,16384,16719,val,370.7221579551697,32
